"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE917211581498";"Kesselsdorf";"In Betrieb";"Wind";"600";"600";"8/31/1995";"10/7/2020";"Sachsen";"01737";"Braunsdorf";"Maxim-Gorki-Straße";"";"";"";"14628410";"51,022941";"13,57734";"";"";"Kesselsdorf";"52";"43";"Tacke GmbH & Co. KG";"TW600";"";"";"Horizontalläufer";"Windkraft an Land";"8/17/2023";"";"";"natürliche Person (ABR960661297136)";"ABR960661297136";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL959090175535";"EEG922123108022";"E41874010000000000114000261300001";"8/31/1995";"600";"";"";"";"";""
"SEE981988689176";"LB 01";"In Betrieb";"Wind";"600";"600";"9/15/2000";"10/7/2020";"Sachsen";"02708";"Lawalde-Lauba";"";"";"Lauba";"761";"14626270";"51,077543";"14,56514";"";"";"Lauba";"65";"44";"";"E40 6.44 E1";"";"";"Horizontalläufer";"Windkraft an Land";"10/7/2020";"";"";"Windmühle Lauba GmbH & Co. KG";"ABR926409235464";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL966349089567";"EEG925802913436";"E41874010000000000114000271800001";"9/15/2000";"600";"";"";"";"";""
"SEE906010689436";"BU 01";"In Betrieb";"Wind";"1500";"1500";"6/30/1999";"10/9/2020";"Sachsen";"04668";"Grimma";"";"";"Grottewitz";"Flur3: 90";"14729160";"51,240176";"12,815815";"";"";"Butterberg";"65";"70";"GE Wind Energy GmbH";"Tacke TW 1.5s";"";"";"Horizontalläufer";"Windkraft an Land";"9/20/2023";"";"";"Windkraft Sohland II GmbH & Co. KG";"ABR913372549261";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL984945926093";"EEG984179550477";"E41081010000000000000000000005821";"6/30/1999";"1500";"";"";"";"";""
"SEE905373857513";"SL 02";"In Betrieb";"Wind";"1500";"1500";"10/12/2001";"10/12/2020";"Sachsen";"02894";"Sohland";"";"";"Sohland";"2531";"14626450";"51,095612";"14,803388";"";"";"Sohland";"65";"70";"REpower Systems SE";"MD70";"";"";"Horizontalläufer";"Windkraft an Land";"1/11/2023";"";"";"Windkraft Sohland II GmbH & Co. KG";"ABR913372549261";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL990087946240";"EEG911596886223";"E41874010000000000314100038600001";"10/12/2001";"1500";"";"";"";"";""
"SEE971578333381";"SL 03";"In Betrieb";"Wind";"1500";"1500";"10/10/2001";"10/12/2020";"Sachsen";"02894";"Sohland";"";"";"Sohland";"2542";"14626450";"51,093287";"14,80541";"";"";"Sohland";"65";"70";"REpower Systems SE";"MD70";"";"";"Horizontalläufer";"Windkraft an Land";"1/11/2023";"";"";"Windkraft Sohland II GmbH & Co. KG";"ABR913372549261";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL990087946240";"EEG954218736438";"E41874010000000000314100038500001";"10/10/2001";"1500";"";"";"";"";""
"SEE951154420506";"442534";"In Betrieb";"Wind";"600";"600";"12/21/2007";"10/13/2020";"Sachsen";"01705";"Freital";"";"";"Lübau";"Flur 1: Flurstück 208";"14612000";"50,958631";"13,607872";"";"";"Windpark Somsdorfer Höhe GmbH & Co. KG";"65";"43,7";"ENERCON GmbH";"E 40 6.44";"";"";"Horizontalläufer";"Windkraft an Land";"10/13/2020";"";"";"Windpark Somsdorfer Höhe GmbH & Co. KG";"ABR988560242439";"Volleinspeisung";"SGE987700796696";"Freitaler Stadtwerke GmbH (SNB982241851170)";"SNB982241851170";"Geprüft";"Mittelspannung";"SEL980025537708";"EEG962434579258";"E4097101E24007000U000000000100001";"12/21/2007";"600";"";"";"";"";""
"SEE934220353908";"Rossau1";"In Betrieb";"Wind";"660";"660";"6/11/1999";"10/13/2020";"Sachsen";"09661";"Rossau";"Windpark";"706";"";"";"14522500";"51,008845";"13,029493";"";"";"Rossau1";"65";"47";"Vestas Deutschland GmbH";"VestasV47";"";"";"Horizontalläufer";"Windkraft an Land";"1/11/2022";"";"";"natürliche Person (ABR986873807680)";"ABR986873807680";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL906241314640";"EEG946895679832";"E41081010000000000000000000006632";"6/11/1999";"660";"";"";"";"";""
"SEE900951628455";"Windpark Eichardt Vestas V44";"In Betrieb";"Wind";"600";"600";"11/5/1996";"10/14/2020";"Sachsen";"04720";"Großweitzschen";"Wollsdorf";"900 R";"";"";"14522220";"51,18075";"13,016823";"";"";"Windpark Eichardt";"61";"44";"Vestas Deutschland GmbH";"V44";"";"";"Horizontalläufer";"Windkraft an Land";"3/15/2023";"";"";"SkyPower Windenergie e.K.";"ABR910240325552";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL992175867130";"EEG901466415691";"E41081010000000000000000000007688";"11/5/1996";"600";"";"";"";"";""
"SEE993235735352";"Ehrenberg 1";"In Betrieb";"Wind";"660";"660";"6/25/2001";"10/14/2020";"Sachsen";"09648";"Kriebstein";"Windpark";"903";"";"";"14522300";"51,02985";"13,03506";"";"";"Ehrenberg";"65";"47";"Vestas Deutschland GmbH";"VestasV47";"";"";"Horizontalläufer";"Windkraft an Land";"1/19/2022";"";"";"natürliche Person (ABR986873807680)";"ABR986873807680";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL959733832771";"EEG922809311968";"E41081010000000000000000000008341";"6/25/2001";"660";"";"";"";"";""
"SEE916603024001";"Ehrenberg 2";"In Betrieb";"Wind";"660";"660";"6/25/2001";"10/14/2020";"Sachsen";"09648";"Kriebstein";"Windpark";"902";"";"";"14522300";"51,033727";"13,033344";"";"";"Ehrenberg";"65";"47";"Vestas Deutschland GmbH";"VestasV47";"";"";"Horizontalläufer";"Windkraft an Land";"1/19/2022";"";"";"natürliche Person (ABR986873807680)";"ABR986873807680";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL959733832771";"EEG930182221941";"E41081010000000000000000000006904";"6/25/2001";"660";"";"";"";"";""
"SEE949182599417";"Windkraftanlagen";"In Betrieb";"Wind";"600";"600";"11/13/1996";"10/21/2020";"Sachsen";"08412";"Werdau";"Am Schulberg";"1";"";"";"14524300";"50,762398";"12,372345";"";"";"Windpark Langenhessen WKA 2210";"63";"44";"Vestas Deutschland GmbH";"V 44";"";"";"Horizontalläufer";"Windkraft an Land";"10/21/2020";"";"";"natürliche Person (ABR981161476357)";"ABR981161476357";"Volleinspeisung";"SGE967017503194";"Stadtwerke Werdau GmbH (SNB962389410347)";"SNB962389410347";"Geprüft";"Mittelspannung";"SEL950214511598";"EEG925678311930";"E41081010000000000000000000005778";"11/13/1996";"600";"";"";"";"";""
"SEE921799342051";"wkw kaiserburg";"In Betrieb";"Wind";"600";"600";"5/1/1997";"10/21/2020";"Sachsen";"04736";"Waldheim";"Untere Talstraße";"1 a";"";"";"14522570";"51,086102";"13,052713";"";"";"wkw waldheim";"60";"43";"Nordtank Energy Group";"nordtank ntk 600-180/43/60";"";"";"Horizontalläufer";"Windkraft an Land";"7/5/2023";"";"";"natürliche Person (ABR912549755870)";"ABR912549755870";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL980433312478";"EEG916743580214";"E41081010000000000000000000005885";"5/1/1997";"600";"";"";"";"";""
"SEE989735091470";"SW-BER20";"In Betrieb";"Wind";"3600";"3600";"7/6/2023";"7/6/2023";"Sachsen";"09337";"Bernsdorf";"";"";"Bernsdorf";"667";"14524010";"50,760428";"12,681553";"";"";"Windpark Bernsdorf/Gersdorf";"166";"126";"Vestas Deutschland GmbH";"V126-3.6 MW HTq";"";"";"Horizontalläufer";"Windkraft an Land";"7/6/2023";"";"";"Sabowindpark Gersdorf 3";"ABR958148362651";"Volleinspeisung";"SGE928102464998";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL937473565760";"EEG902442317220";"";"7/6/2023";"3600";"WIN21-1/064,";"";"";"";""
"SEE943371506187";"11845";"In Betrieb";"Wind";"850";"850";"11/7/2001";"10/21/2020";"Sachsen";"04720";"Großweitzschen";"";"";"Eichardt";"66/2";"14522220";"51,173537";"13,007899";"";"";"Eichardthöhe";"74";"52";"Vestas Deutschland GmbH";"Vestas V52";"";"";"Horizontalläufer";"Windkraft an Land";"10/6/2021";"";"";"natürliche Person (ABR995080240401)";"ABR995080240401";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL965295558929";"EEG946945619337";"E41081010000000000000000000014005";"11/7/2001";"850";"";"";"";"";""
"SEE999619657760";"Windpark Langenhessen";"In Betrieb";"Wind";"600";"600";"11/13/1996";"10/21/2020";"Sachsen";"08412";"Werdau";"Am Schulberg";"1";"";"";"14524300";"50,76195";"12,38501";"";"";"Windpark Langenhessen WKA 2211";"63";"44";"Vestas Deutschland GmbH";"V 44";"";"";"Horizontalläufer";"Windkraft an Land";"11/12/2020";"";"";"natürliche Person (ABR981161476357)";"ABR981161476357";"Volleinspeisung";"SGE929698932090";"Stadtwerke Werdau GmbH (SNB962389410347)";"SNB962389410347";"Geprüft";"Mittelspannung";"SEL950214511598";"EEG900728235916";"E41081010000000000000000000016176";"11/13/1996";"600";"";"";"";"";""
"SEE959825288769";"WKA 3";"In Betrieb";"Wind";"225";"225";"2/9/1995";"10/21/2020";"Sachsen";"08428";"Langenbernsdorf";"Glasbergstraße";"1";"";"";"14524140";"50,763951";"12,297961";"";"";"WKA3";"36";"29,6";"NEG Micon Deutschland GmbH";"Micon A/S M700/25";"";"";"Horizontalläufer";"Windkraft an Land";"4/6/2023";"";"";"natürliche Person (ABR981161476357)";"ABR981161476357";"Volleinspeisung";"SGE953866897263";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL954822343879";"EEG980824708200";"E41081010000000000000000000007746";"2/9/1995";"225";"";"";"";"";""
"SEE980218903952";"EWEA 2,3 MW";"In Betrieb";"Wind";"2300";"2300";"9/12/2011";"10/24/2020";"Sachsen";"02708";"Löbau";"";"";"Wohla";"Wohla 326";"14626270";"51,128661";"14,651583";"";"";"EWEA  Wohla  Kittlitz";"64";"71";"ENERCON GmbH";"E70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"6/21/2023";"";"";"natürliche Person (ABR971532058572)";"ABR971532058572";"Volleinspeisung";"SGE996247372591";"Stadtwerke Löbau GmbH (SNB926470799582)";"SNB926470799582";"Geprüft";"Mittelspannung";"SEL944784262158";"EEG928668718146";"E41874010000000000314100597200001";"9/12/2011";"2300";"";"";"";"";""
"SEE957419614628";"40667";"In Betrieb";"Wind";"500";"500";"9/18/1996";"10/27/2020";"Sachsen";"04769";"Mügeln";"";"";"Querbitzsch";"128/1";"14730200";"51,24061";"12,95495";"";"";"Windspark Ablaß GmbH";"65";"40,3";"ENERCON GmbH";"E-40";"";"";"Horizontalläufer";"Windkraft an Land";"4/17/2021";"";"";"Windpark Ablaß GmbH";"ABR984227371191";"Volleinspeisung";"SGE995641241151";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL937918726985";"EEG984456526379";"E41081010000000000000000000005743";"9/18/1996";"500";"";"";"";"";""
"SEE930728095777";"40668";"In Betrieb";"Wind";"500";"500";"9/18/1996";"10/27/2020";"Sachsen";"04769";"Mügeln";"";"";"Grauschwitz";"128/3";"14730200";"51,23739";"12,95442";"";"";"Windpark Ablaß GmbH";"";"";"";"";"";"";"Horizontalläufer";"Windkraft an Land";"7/13/2023";"";"";"Windpark Ablaß GmbH";"ABR984227371191";"Volleinspeisung";"SGE995641241151";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL937918726985";"EEG905762375260";"E41081010000000000000000000005741";"9/18/1996";"500";"";"";"";"";""
"SEE989409743315";"Rübenau";"In Betrieb";"Wind";"150";"150";"2/27/1995";"10/29/2020";"Sachsen";"09496";"Marienberg";"Windpark";"903";"";"";"14521390";"50,585863";"13,310518";"";"";"Rübenau";"40";"22";"Bonus Energy A/S";"AN Bonus 150/30 kW";"";"";"Horizontalläufer";"Windkraft an Land";"12/4/2022";"";"";"PR Windkraft GmbH";"ABR932681258701";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL903034416727";"EEG908949690231";"E41081010000000000000000000006540";"2/27/1995";"150";"";"";"";"";""
"SEE961171210639";"N60-NX1103";"In Betrieb";"Wind";"1300";"1300";"9/1/1999";"11/6/2020";"Sachsen";"04668";"Grimma";"";"";"Jeesewitz";"Flurstück 138";"14729160";"51,231655";"12,918638";"";"";"Jeesewitz";"69";"60";"Nordex Energy GmbH";"N60";"";"";"Horizontalläufer";"Windkraft an Land";"9/8/2023";"";"";"QE Leipzig-Jeesewitz GmbH";"ABR939432670973";"Volleinspeisung";"SGE922009823124";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung; Hochspannung; Hochspannung; Hochspannung";"SEL912183867588";"EEG980719089094";"E41081010000000000000000000005921";"9/1/1999";"1300";"";"";"";"";""
"SEE904489906221";"N60-NX1107";"In Betrieb";"Wind";"1300";"1300";"9/1/1999";"11/6/2020";"Sachsen";"04668";"Grimma";"";"";"Jeesewitz";"Flurstück 136/1";"14729160";"51,231722";"12,91366";"";"";"Jeesewitz";"69";"60";"Nordex Energy GmbH";"N60";"";"";"Horizontalläufer";"Windkraft an Land";"9/7/2023";"";"";"QE Leipzig-Jeesewitz GmbH";"ABR939432670973";"Volleinspeisung";"SGE922009823124";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung; Hochspannung; Hochspannung; Hochspannung";"SEL912183867588";"EEG988480131547";"E41081010000000000000000000005922";"9/1/1999";"1300";"";"";"";"";""
"SEE946209985758";"Markersdorf  Anlage 2";"In Betrieb";"Wind";"600";"600";"7/10/1996";"11/12/2020";"Sachsen";"09322";"Penig";"";"";"Markersdorf";"130/2";"14522460";"50,927141";"12,656833";"";"";"Markersdorf";"60";"43";"Tacke GmbH & Co. KG";"TW600";"";"";"Horizontalläufer";"Windkraft an Land";"1/27/2022";"";"";"natürliche Person (ABR923191748042)";"ABR923191748042";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL951847756363";"EEG955259596869";"E41081010000000000000000000005803";"7/10/1996";"600";"";"";"";"";""
"SEE921218728367";"Markersdorf Anlage 3";"In Betrieb";"Wind";"600";"600";"7/10/1996";"11/12/2020";"Sachsen";"09322";"Penig";"";"";"Markersdorf";"130/3";"14522460";"50,929513";"12,657812";"";"";"Markersdorf";"60";"43";"Tacke GmbH & Co. KG";"TW600";"";"";"Horizontalläufer";"Windkraft an Land";"7/21/2022";"";"";"natürliche Person (ABR923191748042)";"ABR923191748042";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL951847756363";"EEG965209224100";"E41081010000000000000000000005804";"7/10/1996";"600";"";"";"";"";""
"SEE940727746679";"Dörnthal 70426";"In Betrieb";"Wind";"1800";"1800";"10/12/2001";"11/12/2020";"Sachsen";"09526";"Olbernhau";"";"";"Voigtsdorf";"Flur Voigtsdorf: Flurstück 891";"14521460";"50,741183";"13,377917";"";"";"Dörnthal";"65";"70,4";"ENERCON GmbH";"E-66";"";"";"Horizontalläufer";"Windkraft an Land";"6/28/2023";"";"";"natürliche Person (ABR956858560800)";"ABR956858560800";"Volleinspeisung";"SGE975410671167";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung";"SEL971803792822";"EEG963547430047";"E41081010000000000000000000006644";"10/12/2001";"1800";"";"";"";"";""
"SEE987898697799";"Dörnthal 70424";"In Betrieb";"Wind";"1800";"1800";"10/9/2001";"11/12/2020";"Sachsen";"09526";"Olbernhau";"";"";"Voigtsdorf";"Flur Voigtsdorf: Flurstück 891";"14521460";"50,744067";"13,37445";"";"";"Dörnthal";"65";"70,4";"ENERCON GmbH";"E-66";"";"";"Horizontalläufer";"Windkraft an Land";"10/11/2023";"";"";"natürliche Person (ABR956858560800)";"ABR956858560800";"Volleinspeisung";"SGE975410671167";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung";"SEL971803792822";"EEG996832629222";"E41081010000000000000000000006645";"10/9/2001";"1800";"";"";"";"";""
"SEE965836540970";"Elsdorf 1";"In Betrieb";"Wind";"600";"600";"5/4/1995";"11/12/2020";"Sachsen";"09328";"Lunzenau";"Rochlitzer Straße";"999Z";"";"";"14522350";"50,971743";"12,728716";"";"";"WP Elsdorf";"50";"43";"Enron Wind GmbH";"TW 600";"";"";"Horizontalläufer";"Windkraft an Land";"12/23/2021";"";"";"Windfeld Elsdorf GmbH & Co. KG";"ABR913729732261";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL927228697228";"EEG934868089740";"E41081010000000000000000000005780";"5/4/1995";"600";"";"";"";"";""
"SEE933768392912";"WEA 80004";"In Betrieb";"Wind";"2000";"2000";"2/28/2003";"11/14/2020";"Sachsen";"01906";"Burkau";"";"";"Großhänchen";"Flurstück 3/6";"14625060";"51,1135";"14,1551";"";"";"Windpark Großhänchen";"80";"80";"DeWind GmbH";"D8";"";"";"Horizontalläufer";"Windkraft an Land";"5/23/2022";"";"";"Bau- und Umwelttechnik Gesellschaft für ökologisches Investment mbH & Co. Windwelt KG";"ABR964141767096";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL934082316097";"EEG906765700462";"E41874010000000000114045860500001";"2/28/2003";"2000";"";"";"";"";""
"SEE944293561742";"WEA 80005";"In Betrieb";"Wind";"2000";"2000";"6/6/2003";"11/14/2020";"Sachsen";"01906";"Burkau";"";"";"Großhänchen";"Flurstück 133/5";"14625060";"51,113";"14,1506";"";"";"Windpark Großhänchen";"80";"80";"DeWind GmbH";"D8";"";"";"Horizontalläufer";"Windkraft an Land";"5/23/2022";"";"";"Bau- und Umwelttechnik Gesellschaft für ökologisches Investment mbH & Co. Windwelt KG";"ABR964141767096";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL934082316097";"EEG935633826843";"E41874010000000000314100040800001";"6/6/2003";"2000";"";"";"";"";""
"SEE998347063782";"WEA 80006";"In Betrieb";"Wind";"2000";"2000";"7/21/2003";"11/14/2020";"Sachsen";"01906";"Burkau";"";"";"Großhänchen";"Flurstück 133/2";"14625060";"51,1124";"14,1518";"";"";"Windpark Großhänchen";"80";"80";"DeWind GmbH";"D8";"";"";"Horizontalläufer";"Windkraft an Land";"5/23/2022";"";"";"Bau- und Umwelttechnik Gesellschaft für ökologisches Investment mbH & Co. Windwelt KG";"ABR964141767096";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL934082316097";"EEG972984425080";"E41874010000000000314100040900001";"7/21/2003";"2000";"";"";"";"";""
"SEE928421143611";"WEA 80007";"In Betrieb";"Wind";"2000";"2000";"8/14/2003";"11/14/2020";"Sachsen";"01906";"Burkau";"";"";"Großhänchen";"Flurstück 10/8";"14625060";"51,112";"14,1536";"";"";"Windpark Großhänchen";"80";"80";"DeWind GmbH";"D8";"";"";"Horizontalläufer";"Windkraft an Land";"5/23/2022";"";"";"Bau- und Umwelttechnik Gesellschaft für ökologisches Investment mbH & Co. Windwelt KG";"ABR964141767096";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL934082316097";"EEG988581645462";"E41874010000000000314100041000001";"8/14/2003";"2000";"";"";"";"";""
"SEE999354027774";"WEA 80008";"In Betrieb";"Wind";"2000";"2000";"9/19/2003";"11/14/2020";"Sachsen";"01906";"Burkau";"";"";"Bujrkau";"Flurstück 854";"14625060";"51,1016";"14,1148";"";"";"Windpark Burkau";"80";"80";"DeWind GmbH";"D8";"";"";"Horizontalläufer";"Windkraft an Land";"5/23/2022";"";"";"Bau- und Umwelttechnik Gesellschaft für ökologisches Investment mbH & Co. Windwelt KG";"ABR964141767096";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL934082316097";"EEG922913270632";"E41874010000000000314100041100001";"9/19/2003";"2000";"";"";"";"";""
"SEE958144924846";"WEA 80009";"In Betrieb";"Wind";"2000";"2000";"10/9/2003";"11/14/2020";"Sachsen";"01906";"Burkau";"";"";"Burkau";"Flurstück 854";"14625060";"51,1007";"14,1155";"";"";"Windpark Burkau";"80";"80";"DeWind GmbH";"D8";"";"";"Horizontalläufer";"Windkraft an Land";"5/23/2022";"";"";"Bau- und Umwelttechnik Gesellschaft für ökologisches Investment mbH & Co. Windwelt KG";"ABR964141767096";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL934082316097";"EEG920664639593";"E41874010000000000314100041200001";"10/9/2003";"2000";"";"";"";"";""
"SEE909700126648";"WEA Görlitz IV - ST07/781250 - FH250";"In Betrieb";"Wind";"2000";"2000";"3/17/2011";"1/13/2021";"Sachsen";"02828";"Görlitz";"";"";"Kunnersdorf";"Flur 4, Flurstück 128/6";"14626110";"51,2058";"14,9512";"";"";"Fichtenhöhe";"98";"71";"ENERCON GmbH";"E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"4/16/2021";"";"";"Windkraft Fichtenhöhe GmbH & Co. KG";"ABR989484746843";"Volleinspeisung";"SGE979511537971";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL974046595564";"EEG928359483643";"E41874010000000000314100797100001";"3/17/2011";"2000";"";"";"";"";""
"SEE990134035156";"RAC5";"In Betrieb";"Wind";"600";"600";"2/13/1998";"11/17/2020";"Sachsen";"04519";"Rackwitz";"";"";"Zschortau";"6: 41/23";"14730250";"51,460851";"12,375501";"";"";"Rackwitz";"63";"44";"Vestas Deutschland GmbH";"V44";"";"";"Horizontalläufer";"Windkraft an Land";"1/27/2022";"";"";"Atlas Energieanlagen GmbH & Co. Erste KG";"ABR945002012166";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL907304168668";"EEG932500585230";"E41081010000000000000000000005851";"2/13/1998";"600";"";"";"";"";""
"SEE936115977138";"WEA Görlitz V - ST08/781251 - FH251";"In Betrieb";"Wind";"2000";"2000";"3/2/2011";"1/13/2021";"Sachsen";"02828";"Görlitz";"";"";"Kunnersdorf";"Flur 4, Flurstück 138/1";"14626110";"51,2045";"14,9533";"";"";"Schöpstal";"98";"71";"ENERCON GmbH";"E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"4/16/2021";"";"";"Windkraft Fichtenhöhe GmbH & Co. KG";"ABR989484746843";"Volleinspeisung";"SGE979511537971";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL974046595564";"EEG937680352078";"E41874010000000000314100797000001";"3/2/2011";"2000";"";"";"";"";""
"SEE944787473889";"RAC6";"In Betrieb";"Wind";"600";"600";"2/13/1998";"11/17/2020";"Sachsen";"04519";"Rackwitz";"";"";"Rackwitz";"3: 4/1";"14730250";"51,453954";"12,375091";"";"";"Rackwitz";"63";"44";"Vestas Deutschland GmbH";"V44";"";"";"Horizontalläufer";"Windkraft an Land";"6/3/2022";"";"";"Atlas Energieanlagen GmbH & Co. Erste KG";"ABR945002012166";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL907304168668";"EEG931947748581";"E41081010000000000000000000005852";"2/13/1998";"600";"";"";"";"";""
"SEE932653536073";"RAC7";"In Betrieb";"Wind";"600";"600";"2/13/1998";"11/17/2020";"Sachsen";"04519";"Rackwitz";"";"";"Zschortau";"6: 73/41";"14730250";"51,459275";"12,384258";"";"";"Rackwitz";"63";"44";"Vestas Deutschland GmbH";"V44";"";"";"Horizontalläufer";"Windkraft an Land";"1/27/2022";"";"";"Atlas Energieanlagen GmbH & Co. Erste KG";"ABR945002012166";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL907304168668";"EEG905495828941";"E41081010000000000000000000005853";"2/13/1998";"600";"";"";"";"";""
